,0,1,2,3,4,5
0,13.0,17.0,16.0,12.0,17.0,15.0
1,7.0,11.0,12.0,17.0,19.0,24.0
2,0.0,7.0,17.0,23.0,17.0,26.0
3,17.0,17.0,20.0,13.0,11.0,12.0
4,0.0,17.0,18.0,19.0,12.0,24.0
5,5.0,14.0,27.0,15.0,21.0,8.0
6,0.0,15.0,18.0,23.0,18.0,16.0
7,0.0,22.0,22.0,17.0,12.0,17.0
8,4.0,20.0,9.0,19.0,21.0,17.0
9,1.0,17.0,18.0,17.0,23.0,14.0
10,0.0,15.0,16.0,21.0,14.0,24.0
11,10.0,16.0,14.0,15.0,16.0,19.0
12,6.0,11.0,22.0,20.0,19.0,12.0
13,4.0,9.0,19.0,15.0,26.0,17.0
14,0.0,12.0,23.0,24.0,12.0,19.0
15,16.0,19.0,9.0,19.0,11.0,16.0
16,0.0,12.0,19.0,17.0,20.0,22.0
17,6.0,13.0,19.0,20.0,16.0,16.0
18,9.0,17.0,12.0,18.0,20.0,14.0
19,7.0,21.0,14.0,19.0,14.0,15.0
20,0.0,25.0,17.0,10.0,15.0,23.0
21,3.0,19.0,10.0,20.0,17.0,21.0
22,14.0,9.0,19.0,14.0,14.0,20.0
23,2.0,14.0,22.0,14.0,16.0,22.0
24,14.0,15.0,18.0,13.0,10.0,20.0
25,11.0,17.0,18.0,10.0,16.0,18.0
26,6.0,18.0,18.0,16.0,11.0,21.0
27,0.0,15.0,20.0,18.0,19.0,18.0
28,0.0,12.0,19.0,12.0,22.0,25.0
29,10.0,19.0,27.0,9.0,14.0,11.0
30,12.0,12.0,18.0,18.0,18.0,12.0
31,7.0,14.0,17.0,23.0,7.0,22.0
32,14.0,23.0,11.0,12.0,16.0,14.0
33,5.0,15.0,24.0,16.0,14.0,16.0
34,6.0,17.0,20.0,15.0,19.0,13.0
35,14.0,9.0,21.0,22.0,13.0,11.0
36,14.0,16.0,13.0,13.0,14.0,20.0
37,0.0,22.0,16.0,11.0,18.0,23.0
38,22.0,11.0,14.0,16.0,16.0,11.0
39,0.0,8.0,20.0,23.0,17.0,22.0
40,3.0,12.0,22.0,12.0,22.0,19.0
41,0.0,15.0,26.0,9.0,20.0,20.0
42,0.0,17.0,16.0,14.0,21.0,22.0
43,11.0,20.0,14.0,12.0,13.0,20.0
44,16.0,15.0,15.0,15.0,18.0,11.0
45,0.0,1.0,28.0,14.0,29.0,18.0
46,12.0,11.0,22.0,15.0,14.0,16.0
47,8.0,13.0,17.0,21.0,16.0,15.0
48,2.0,17.0,15.0,17.0,20.0,19.0
49,4.0,14.0,10.0,21.0,23.0,18.0
50,8.0,23.0,11.0,11.0,18.0,19.0
51,0.0,16.0,17.0,16.0,22.0,19.0
52,0.0,1.0,28.0,22.0,15.0,24.0
53,1.0,15.0,23.0,16.0,13.0,22.0
54,6.0,17.0,17.0,21.0,13.0,16.0
55,3.0,20.0,11.0,18.0,20.0,18.0
56,0.0,6.0,18.0,26.0,20.0,20.0
57,8.0,14.0,18.0,13.0,15.0,22.0
58,6.0,19.0,12.0,14.0,23.0,16.0
59,0.0,16.0,18.0,17.0,17.0,22.0
60,2.0,25.0,11.0,15.0,21.0,16.0
61,5.0,14.0,26.0,13.0,17.0,15.0
62,1.0,18.0,20.0,15.0,18.0,18.0
63,0.0,23.0,9.0,19.0,21.0,18.0
64,7.0,17.0,20.0,16.0,20.0,10.0
65,8.0,16.0,13.0,24.0,12.0,17.0
66,1.0,14.0,23.0,17.0,17.0,18.0
67,17.0,16.0,19.0,14.0,12.0,12.0
68,9.0,15.0,17.0,19.0,14.0,16.0
69,0.0,12.0,15.0,23.0,22.0,18.0
70,1.0,15.0,20.0,12.0,19.0,23.0
71,6.0,22.0,15.0,19.0,12.0,16.0
72,0.0,8.0,22.0,14.0,28.0,18.0
73,0.0,15.0,17.0,18.0,21.0,19.0
74,14.0,16.0,16.0,16.0,18.0,10.0
75,13.0,12.0,12.0,21.0,17.0,15.0
76,13.0,13.0,24.0,15.0,14.0,11.0
77,0.0,16.0,18.0,16.0,25.0,15.0
78,0.0,15.0,20.0,19.0,21.0,15.0
79,10.0,15.0,17.0,22.0,8.0,18.0
80,1.0,21.0,15.0,17.0,19.0,17.0
81,6.0,17.0,14.0,14.0,15.0,24.0
82,6.0,12.0,20.0,17.0,16.0,19.0
83,15.0,15.0,19.0,17.0,12.0,12.0
84,13.0,20.0,12.0,20.0,15.0,10.0
85,1.0,22.0,16.0,17.0,14.0,20.0
86,11.0,12.0,12.0,23.0,14.0,18.0
87,16.0,13.0,19.0,7.0,21.0,14.0
88,12.0,21.0,15.0,18.0,17.0,7.0
89,2.0,24.0,13.0,16.0,15.0,20.0
90,2.0,24.0,15.0,16.0,20.0,13.0
91,5.0,18.0,17.0,22.0,13.0,15.0
92,10.0,20.0,12.0,17.0,19.0,12.0
93,15.0,11.0,15.0,16.0,15.0,18.0
94,8.0,13.0,13.0,13.0,22.0,21.0
95,0.0,11.0,25.0,17.0,19.0,18.0
96,0.0,9.0,20.0,24.0,21.0,16.0
97,14.0,17.0,13.0,19.0,14.0,13.0
98,7.0,16.0,22.0,16.0,14.0,15.0
99,3.0,14.0,22.0,11.0,13.0,27.0
100,0.0,8.0,19.0,17.0,21.0,25.0
101,8.0,14.0,15.0,22.0,12.0,19.0
102,8.0,12.0,22.0,19.0,17.0,12.0
103,0.0,10.0,20.0,15.0,23.0,22.0
104,9.0,15.0,13.0,15.0,16.0,22.0
105,4.0,21.0,16.0,15.0,16.0,18.0
106,12.0,14.0,20.0,16.0,13.0,15.0
107,7.0,17.0,20.0,16.0,15.0,15.0
108,6.0,25.0,14.0,14.0,14.0,17.0
109,18.0,14.0,15.0,15.0,14.0,14.0
110,11.0,20.0,20.0,15.0,14.0,10.0
