,0,1,2,3,4,5
0,0.0,16.0,13.0,24.0,24.0,13.0
1,0.0,19.0,19.0,20.0,17.0,15.0
2,12.0,15.0,16.0,18.0,16.0,13.0
3,2.0,13.0,20.0,21.0,15.0,19.0
4,0.0,11.0,17.0,21.0,19.0,22.0
5,15.0,12.0,11.0,17.0,19.0,16.0
6,5.0,20.0,14.0,16.0,18.0,17.0
7,10.0,16.0,16.0,14.0,18.0,16.0
8,9.0,21.0,15.0,12.0,13.0,20.0
9,11.0,13.0,20.0,15.0,18.0,13.0
10,5.0,11.0,20.0,21.0,19.0,14.0
11,2.0,19.0,19.0,20.0,11.0,19.0
12,16.0,10.0,14.0,16.0,17.0,17.0
13,17.0,18.0,16.0,14.0,15.0,10.0
14,4.0,19.0,22.0,20.0,13.0,12.0
15,0.0,16.0,20.0,12.0,19.0,23.0
16,10.0,15.0,16.0,16.0,17.0,16.0
17,0.0,19.0,18.0,19.0,14.0,20.0
18,9.0,11.0,16.0,19.0,16.0,19.0
19,10.0,11.0,21.0,14.0,19.0,15.0
