,0
0,13.818918046989511
1,13.307836002631706
2,13.97024057202023
3,13.273157358935697
4,13.927377433973557
5,14.189595926302246
6,14.18147331701979
7,14.056973341434714
8,14.107415798775001
9,13.863974496100505
10,13.801538874390815
11,13.903347425646531
12,13.648877811742185
13,13.431895238722888
14,13.88694868486496
15,14.23060517215253
16,14.06361379507547
17,14.097702997644676
18,13.345431962717603
19,14.189761997573532
20,13.91829308228858
21,14.074914374070008
22,14.07864980622661
23,13.71483342588442
24,13.513548182450911
25,13.726636328909475
26,14.086033069204921
27,14.028570108710479
28,14.05609905869122
29,13.880161256868496
30,14.010035096366439
31,13.90795185406442
32,13.567642693924983
33,13.98932299162102
34,14.022395609357652
35,14.268486007756607
36,13.916498566928789
37,14.051503810879204
38,13.815071891509207
39,13.554463189044709
40,14.126598692541963
41,12.088544022509515
42,13.736793239185824
43,13.695584507793734
44,13.775735489312238
45,14.435133572638042
46,14.038241987976704
47,11.939974178250607
48,14.013662091476748
49,13.772317759305304
50,13.004871814833088
51,13.950569785651195
52,13.716802202503255
53,13.923429731489586
54,13.933808363680901
55,13.839475541899722
56,14.027218065121664
57,14.092066811697853
58,13.807924102873633
59,14.328928810786797
60,14.285445807423137
61,13.96220798374777
62,12.132479728334973
63,13.83550314780517
64,13.957855046938672
65,13.771390490566624
66,13.896998196809548
67,14.107049104929846
68,13.664282536307615
69,13.831180936555372
70,13.964481751912562
71,13.861089057176576
72,13.537998874753843
73,13.24661164670726
74,14.16920712390515
75,14.402218909415016
76,13.94733802308096
77,14.140234170698436
78,13.870291810792617
79,14.076114176862813
80,14.001286078446595
81,13.443953975526767
82,13.7975928942124
83,14.155043210082685
84,13.916091516651058
85,13.89442085761284
86,14.03229709063115
87,13.775802119297776
88,12.34242188502413
89,14.018829222335393
90,14.219005853288312
91,13.804528150100857
92,13.937335795023973
93,14.003203176324208
94,14.01590022608135
95,13.629177900309292
96,12.248817337650692
97,13.906168415775412
98,14.181737422511148
99,14.104860579879198
100,13.922566573383843
101,13.864649204431648
102,13.878145897754548
103,13.671511566619982
104,13.408314508017853
105,13.84459761411792
106,13.696997777196144
107,13.746228187967917
108,14.032572195671262
109,14.15906378492403
110,14.307908280655171
111,11.819917754165468
112,13.855227453287025
113,13.828918502030378
114,13.94595350305293
115,14.113228782039947
116,13.896230282744824
117,13.35522344458969
118,12.671602526010568
119,13.199564576618199
120,14.04789622410218
121,14.061988687378069
122,14.153642552797969
123,13.923282061081743
124,13.942451473520704
125,14.191917796688386
126,13.90650747703333
127,13.491618994723948
128,14.258165083199183
129,13.897929051495415
130,13.801997190271818
131,13.748139100311255
132,14.204366915773193
133,13.78356870981324
134,14.073016252868477
135,13.90469952314396
136,14.104068435212241
137,14.138327327101274
138,13.716815511088901
139,14.043861193578756
140,13.93312360440443
141,13.984540991095082
142,14.040602897234793
143,12.84099473619369
144,13.694416738554468
145,13.322991390228788
146,14.086177055598583
147,13.748727169215758
148,13.560074239570572
149,14.009293046612749
150,13.940009531859788
151,14.32074629337296
152,13.266640351140753
153,13.949871097824719
154,13.912431739454158
155,13.88287151750792
156,12.825187495103599
157,13.99496762307724
158,14.181009948090171
159,13.851465740978165
160,12.18306478438037
161,13.506357146276976
162,13.899882594971482
163,14.283090928470243
164,13.70878659158879
165,13.799192390724956
166,14.009396926015246
167,13.878785975719785
168,14.228233529164546
169,14.124854294163693
170,12.912338385455751
171,13.71874119950375
172,13.706630736914306
173,13.656406152974837
174,14.06969559137282
175,14.107790448205662
176,13.81981309597752
177,13.962470523800674
178,14.019946354890712
179,14.250427421170224
180,13.714634746990498
181,13.886070720995443
182,13.601335448714018
183,13.895261186021255
184,14.049755852944719
185,13.963111650823707
186,13.9491187939312
187,13.593537165142694
188,13.584098624019978
189,14.11221577758725
190,13.885349501855497
191,13.738927624973776
192,13.599523781963363
193,13.97743291485684
194,13.022689423617155
195,13.848934354897922
196,14.017028604874213
197,13.487670226114771
198,13.28178325778465
199,13.410534833213047
200,14.1700570990895
201,13.430380808387312
202,12.10485941174575
203,14.097853528845006
204,13.202449382080081
205,13.348704717197135
206,14.166015841647726
207,13.73358931460082
208,13.11065927633008
209,14.422892270129873
210,13.824863552767482
211,13.86350504300664
212,13.885812524928976
213,14.183198507784805
214,13.607449383850597
215,14.005574074513202
216,12.148011514236345
217,14.094451547485281
218,14.103721544356437
219,14.073122155680318
220,14.0674892803377
221,13.975277219836114
222,14.332555104449863
223,14.18267377596412
224,13.91050731829801
225,12.737917452475722
226,12.668912649182072
227,13.759035879268543
228,13.930986431725907
229,14.096543750049321
230,14.007705964730004
231,14.205955039620742
232,14.006758869334694
233,13.357490133745982
234,13.938316309491928
235,13.797150092247103
236,13.813298330057616
237,13.653698000326607
238,14.151212033597018
239,13.779852182670494
240,14.175713538725553
241,14.209986381461665
242,14.47163559250017
243,14.15910629772083
244,14.184833206205665
245,12.12645062895281
246,13.912686463239604
247,13.293769318857743
248,12.250943186756489
249,14.36037633753786
250,10.541280957629205
251,14.306177599686126
252,13.961052116350315
253,13.818530504210303
254,14.204990796097942
255,12.857469917183854
256,13.700325974790005
257,11.585353166696372
258,13.435772833400675
259,13.855820283353859
260,14.03614488257417
261,14.12132620171788
262,13.953961907696124
263,13.054710364180734
264,14.45154962251745
265,13.782987658652727
266,13.38359592254991
267,13.867378150477554
268,14.141396683988145
269,13.468497774525005
270,12.004270886702308
271,14.091426341240883
272,13.70024013686634
273,14.044231394753185
274,13.425437291023753
275,13.132545184023096
276,13.56822049955655
277,13.76117407302274
278,14.181053093698418
279,12.736207795219883
280,14.123151102702556
281,13.82065243639805
282,13.463625029475406
283,14.195113129894434
284,13.981167328403451
285,14.178780577011871
286,13.889146924173879
287,11.559569700848796
288,14.107008762750874
289,14.304654023553201
290,13.303081064094469
291,13.914896031986194
292,13.937798908690384
293,13.922740765143411
294,14.230398013255966
295,13.86674408524448
296,14.193926164317126
297,14.063204222877095
298,14.011319484761156
299,13.70331778845526
300,14.125758406801372
301,13.550010201092112
302,13.778082337956699
303,14.27275937214286
304,13.935125478992164
305,13.823351976569127
306,13.7325518459484
307,14.018470601466305
