,0,1,2,3,4,5
0,10.0,22.0,11.0,16.0,19.0,12.0
1,16.0,18.0,13.0,16.0,16.0,11.0
2,1.0,19.0,16.0,20.0,20.0,14.0
3,11.0,11.0,20.0,17.0,15.0,16.0
4,0.0,22.0,12.0,19.0,16.0,21.0
5,0.0,19.0,13.0,15.0,24.0,19.0
6,1.0,13.0,22.0,20.0,21.0,13.0
7,4.0,21.0,18.0,15.0,11.0,21.0
8,10.0,18.0,17.0,15.0,13.0,17.0
9,0.0,12.0,20.0,25.0,18.0,15.0
10,8.0,21.0,22.0,13.0,10.0,16.0
11,0.0,17.0,20.0,16.0,20.0,17.0
12,0.0,19.0,16.0,16.0,20.0,19.0
13,11.0,11.0,21.0,14.0,18.0,15.0
14,0.0,11.0,16.0,19.0,21.0,23.0
15,0.0,3.0,15.0,32.0,27.0,13.0
16,14.0,17.0,14.0,14.0,12.0,19.0
17,12.0,15.0,13.0,17.0,15.0,18.0
18,1.0,18.0,14.0,24.0,18.0,15.0
19,16.0,15.0,15.0,15.0,13.0,16.0
20,0.0,21.0,15.0,15.0,14.0,25.0
21,0.0,17.0,29.0,11.0,18.0,15.0
22,3.0,14.0,14.0,21.0,17.0,21.0
23,17.0,15.0,14.0,11.0,16.0,17.0
24,8.0,18.0,15.0,10.0,15.0,24.0
25,0.0,11.0,20.0,21.0,20.0,18.0
26,0.0,12.0,21.0,19.0,20.0,18.0
27,1.0,21.0,17.0,17.0,13.0,21.0
28,0.0,10.0,22.0,20.0,14.0,24.0
29,7.0,17.0,17.0,13.0,15.0,21.0
30,1.0,19.0,20.0,25.0,13.0,12.0
31,0.0,17.0,15.0,19.0,21.0,18.0
32,8.0,14.0,18.0,22.0,16.0,12.0
33,12.0,18.0,17.0,14.0,12.0,17.0
34,17.0,11.0,17.0,16.0,15.0,14.0
35,14.0,16.0,16.0,16.0,12.0,16.0
36,5.0,20.0,16.0,20.0,18.0,11.0
37,0.0,7.0,20.0,17.0,22.0,24.0
38,17.0,15.0,18.0,15.0,13.0,12.0
39,9.0,9.0,22.0,13.0,22.0,15.0
40,0.0,19.0,16.0,17.0,21.0,17.0
41,16.0,12.0,13.0,15.0,17.0,17.0
42,13.0,16.0,19.0,11.0,13.0,18.0
43,23.0,17.0,18.0,13.0,7.0,12.0
44,6.0,13.0,20.0,14.0,18.0,19.0
45,9.0,19.0,16.0,10.0,18.0,18.0
46,0.0,16.0,19.0,17.0,19.0,19.0
47,6.0,14.0,20.0,20.0,16.0,14.0
48,1.0,11.0,25.0,12.0,25.0,16.0
49,3.0,15.0,20.0,18.0,17.0,17.0
50,19.0,12.0,11.0,14.0,19.0,15.0
51,13.0,18.0,17.0,15.0,14.0,13.0
52,0.0,11.0,15.0,21.0,21.0,22.0
53,9.0,15.0,16.0,10.0,20.0,20.0
54,0.0,9.0,20.0,18.0,23.0,20.0
55,9.0,16.0,18.0,19.0,13.0,15.0
56,8.0,16.0,17.0,16.0,15.0,18.0
57,0.0,15.0,15.0,15.0,23.0,22.0
58,9.0,17.0,17.0,14.0,21.0,12.0
59,5.0,24.0,17.0,13.0,17.0,14.0
60,0.0,11.0,23.0,22.0,21.0,13.0
61,12.0,18.0,13.0,15.0,15.0,17.0
62,6.0,9.0,15.0,27.0,15.0,18.0
63,0.0,12.0,16.0,21.0,21.0,20.0
64,15.0,11.0,15.0,15.0,20.0,14.0
65,0.0,1.0,26.0,26.0,20.0,17.0
66,12.0,20.0,11.0,12.0,19.0,16.0
67,9.0,12.0,22.0,14.0,15.0,18.0
68,8.0,17.0,17.0,15.0,18.0,15.0
69,0.0,23.0,24.0,15.0,16.0,12.0
70,2.0,19.0,16.0,9.0,23.0,21.0
