,0,1,2,3,4,5
0,7.0,20.0,17.0,19.0,11.0,16.0
1,15.0,12.0,16.0,22.0,13.0,12.0
2,1.0,19.0,18.0,22.0,16.0,14.0
3,17.0,12.0,13.0,9.0,19.0,20.0
4,2.0,13.0,16.0,12.0,27.0,20.0
5,0.0,9.0,26.0,21.0,15.0,19.0
6,0.0,15.0,15.0,19.0,17.0,24.0
7,3.0,12.0,18.0,17.0,24.0,16.0
8,0.0,17.0,16.0,17.0,26.0,14.0
9,6.0,23.0,10.0,17.0,17.0,17.0
10,2.0,23.0,14.0,17.0,17.0,17.0
11,4.0,15.0,24.0,11.0,22.0,14.0
12,15.0,10.0,20.0,21.0,12.0,12.0
13,14.0,18.0,16.0,14.0,17.0,11.0
14,0.0,21.0,14.0,23.0,14.0,18.0
15,7.0,8.0,17.0,20.0,16.0,22.0
16,5.0,15.0,15.0,19.0,15.0,21.0
17,7.0,14.0,17.0,15.0,22.0,15.0
18,16.0,14.0,10.0,16.0,17.0,17.0
19,0.0,9.0,18.0,17.0,19.0,27.0
20,0.0,19.0,20.0,9.0,25.0,17.0
21,0.0,18.0,18.0,14.0,11.0,29.0
22,0.0,12.0,24.0,22.0,14.0,18.0
23,0.0,18.0,21.0,17.0,16.0,18.0
24,7.0,19.0,17.0,18.0,17.0,12.0
25,3.0,16.0,14.0,23.0,19.0,15.0
26,0.0,7.0,23.0,22.0,18.0,20.0
27,5.0,17.0,17.0,17.0,17.0,17.0
28,9.0,15.0,16.0,18.0,17.0,15.0
29,2.0,22.0,19.0,12.0,16.0,19.0
30,0.0,22.0,19.0,20.0,15.0,14.0
31,0.0,12.0,19.0,22.0,16.0,21.0
32,9.0,20.0,19.0,16.0,15.0,11.0
33,6.0,16.0,17.0,20.0,17.0,14.0
34,0.0,9.0,13.0,24.0,23.0,21.0
35,1.0,17.0,14.0,18.0,21.0,19.0
36,9.0,14.0,18.0,19.0,11.0,19.0
37,0.0,9.0,20.0,18.0,23.0,20.0
38,1.0,16.0,19.0,20.0,19.0,15.0
39,13.0,18.0,12.0,14.0,12.0,21.0
40,3.0,16.0,13.0,19.0,24.0,15.0
41,20.0,16.0,12.0,14.0,14.0,14.0
42,0.0,18.0,16.0,14.0,25.0,17.0
43,8.0,17.0,20.0,10.0,21.0,14.0
44,4.0,16.0,25.0,14.0,13.0,18.0
45,5.0,11.0,15.0,14.0,26.0,19.0
46,2.0,17.0,12.0,20.0,22.0,17.0
47,17.0,21.0,7.0,18.0,15.0,12.0
48,4.0,21.0,15.0,20.0,16.0,14.0
49,13.0,18.0,14.0,14.0,18.0,13.0
50,16.0,14.0,19.0,16.0,10.0,15.0
51,0.0,7.0,21.0,16.0,27.0,19.0
52,13.0,16.0,12.0,10.0,19.0,20.0
53,5.0,21.0,18.0,14.0,17.0,15.0
54,0.0,12.0,27.0,24.0,17.0,10.0
55,13.0,11.0,18.0,13.0,18.0,17.0
56,3.0,21.0,14.0,14.0,18.0,20.0
57,0.0,14.0,20.0,10.0,21.0,25.0
58,8.0,14.0,13.0,28.0,12.0,15.0
59,0.0,10.0,30.0,13.0,17.0,20.0
60,0.0,17.0,17.0,17.0,18.0,21.0
61,2.0,18.0,17.0,21.0,13.0,19.0
62,18.0,18.0,12.0,16.0,14.0,12.0
63,6.0,16.0,20.0,21.0,12.0,15.0
64,11.0,12.0,16.0,17.0,17.0,17.0
65,12.0,16.0,16.0,11.0,16.0,19.0
66,0.0,16.0,27.0,16.0,17.0,14.0
67,3.0,19.0,21.0,13.0,22.0,12.0
68,13.0,17.0,10.0,18.0,17.0,15.0
69,3.0,18.0,15.0,16.0,21.0,17.0
70,0.0,16.0,19.0,17.0,18.0,20.0
71,0.0,11.0,20.0,28.0,24.0,7.0
72,5.0,19.0,16.0,19.0,21.0,10.0
73,17.0,12.0,15.0,13.0,16.0,17.0
74,0.0,10.0,15.0,22.0,22.0,21.0
75,0.0,0.0,15.0,18.0,31.0,26.0
76,10.0,12.0,15.0,16.0,16.0,21.0
77,0.0,19.0,16.0,21.0,18.0,16.0
78,0.0,10.0,24.0,17.0,24.0,15.0
