,0,1,2,3,4,5
0,9.0,21.0,12.0,16.0,16.0,16.0
1,7.0,19.0,22.0,18.0,13.0,11.0
2,0.0,15.0,19.0,22.0,15.0,19.0
3,14.0,13.0,15.0,15.0,13.0,20.0
4,9.0,16.0,19.0,18.0,12.0,16.0
5,9.0,18.0,19.0,17.0,9.0,18.0
6,11.0,17.0,17.0,7.0,18.0,20.0
7,17.0,11.0,14.0,18.0,16.0,14.0
8,0.0,3.0,24.0,20.0,22.0,21.0
9,12.0,15.0,15.0,17.0,14.0,17.0
10,11.0,24.0,16.0,11.0,12.0,16.0
11,10.0,15.0,12.0,13.0,22.0,18.0
12,0.0,18.0,16.0,22.0,16.0,18.0
13,14.0,10.0,22.0,11.0,17.0,16.0
14,0.0,11.0,22.0,22.0,22.0,13.0
15,11.0,16.0,14.0,15.0,18.0,16.0
16,3.0,23.0,19.0,17.0,15.0,13.0
17,15.0,14.0,14.0,14.0,16.0,17.0
18,0.0,6.0,33.0,15.0,18.0,18.0
19,6.0,17.0,19.0,18.0,22.0,8.0
20,11.0,11.0,14.0,18.0,15.0,21.0
21,9.0,12.0,17.0,18.0,16.0,18.0
22,0.0,11.0,19.0,23.0,18.0,19.0
23,0.0,17.0,14.0,26.0,21.0,12.0
24,3.0,23.0,15.0,11.0,17.0,21.0
25,0.0,15.0,20.0,18.0,16.0,21.0
26,8.0,9.0,20.0,14.0,17.0,22.0
27,0.0,15.0,15.0,21.0,17.0,22.0
28,0.0,2.0,25.0,23.0,19.0,21.0
29,0.0,16.0,22.0,12.0,24.0,16.0
30,7.0,20.0,13.0,19.0,14.0,17.0
31,14.0,12.0,13.0,19.0,18.0,14.0
32,9.0,18.0,12.0,13.0,18.0,20.0
33,5.0,20.0,20.0,10.0,16.0,19.0
34,0.0,19.0,21.0,25.0,14.0,11.0
35,6.0,18.0,24.0,12.0,11.0,19.0
36,13.0,13.0,17.0,14.0,17.0,16.0
37,1.0,21.0,17.0,14.0,17.0,20.0
38,0.0,15.0,20.0,18.0,17.0,20.0
39,4.0,17.0,21.0,15.0,11.0,22.0
40,18.0,12.0,10.0,15.0,19.0,16.0
41,0.0,0.0,8.0,25.0,31.0,26.0
42,8.0,26.0,17.0,14.0,12.0,13.0
43,14.0,10.0,16.0,12.0,25.0,13.0
44,0.0,8.0,18.0,22.0,17.0,25.0
45,7.0,11.0,15.0,16.0,24.0,17.0
46,14.0,14.0,15.0,18.0,14.0,15.0
47,10.0,16.0,19.0,10.0,15.0,20.0
48,10.0,23.0,11.0,16.0,17.0,13.0
49,9.0,16.0,13.0,20.0,13.0,19.0
50,12.0,12.0,21.0,21.0,9.0,15.0
51,0.0,17.0,10.0,20.0,23.0,20.0
52,3.0,22.0,19.0,17.0,13.0,16.0
53,0.0,10.0,21.0,13.0,27.0,19.0
54,3.0,16.0,13.0,22.0,12.0,24.0
55,8.0,15.0,16.0,15.0,20.0,16.0
56,0.0,14.0,24.0,19.0,15.0,18.0
57,1.0,10.0,18.0,22.0,24.0,15.0
58,0.0,12.0,22.0,20.0,19.0,17.0
59,0.0,17.0,21.0,21.0,20.0,11.0
60,0.0,0.0,16.0,28.0,21.0,25.0
61,5.0,17.0,23.0,25.0,12.0,8.0
62,0.0,19.0,10.0,18.0,18.0,25.0
63,2.0,20.0,15.0,22.0,14.0,17.0
64,0.0,12.0,17.0,21.0,20.0,20.0
65,7.0,16.0,17.0,21.0,14.0,15.0
66,12.0,18.0,17.0,15.0,12.0,16.0
67,7.0,26.0,10.0,15.0,19.0,13.0
68,3.0,23.0,21.0,11.0,16.0,16.0
69,0.0,19.0,18.0,18.0,17.0,18.0
70,8.0,19.0,16.0,14.0,14.0,19.0
71,0.0,10.0,19.0,21.0,18.0,22.0
72,0.0,23.0,17.0,17.0,17.0,16.0
73,6.0,13.0,21.0,10.0,20.0,20.0
74,9.0,8.0,17.0,24.0,14.0,18.0
75,0.0,11.0,21.0,11.0,26.0,21.0
76,11.0,18.0,14.0,12.0,17.0,18.0
77,0.0,7.0,20.0,22.0,24.0,17.0
78,5.0,16.0,17.0,15.0,19.0,18.0
79,12.0,15.0,17.0,19.0,11.0,16.0
80,10.0,11.0,17.0,16.0,21.0,15.0
81,2.0,13.0,19.0,15.0,21.0,20.0
82,0.0,10.0,25.0,19.0,20.0,16.0
83,5.0,19.0,19.0,15.0,11.0,21.0
84,11.0,16.0,17.0,10.0,19.0,17.0
85,16.0,9.0,14.0,21.0,13.0,17.0
86,17.0,13.0,13.0,15.0,17.0,15.0
87,9.0,17.0,17.0,17.0,18.0,12.0
88,0.0,11.0,22.0,17.0,13.0,27.0
89,0.0,12.0,16.0,19.0,22.0,21.0
90,0.0,10.0,18.0,21.0,15.0,26.0
91,0.0,17.0,16.0,19.0,20.0,18.0
